                                        Temperature
J                1000.0         1500.0         2000.0         2500.0         3000.0
1               67.4821       112.0642       180.3372       277.3468       408.6143
2              232.7756       388.4161       626.5611       965.0043      1423.0787
3              547.5581       919.6754      1488.4790      2297.0817      3391.9037
4             1048.6713      1775.7672      2886.0685      4465.1629      6604.2890
5             1763.5959      3015.1321      4924.7109      7642.2901     11326.1153
6             2709.9885      4683.4322      7693.0746     11979.9077     17795.7767
7             3896.0264      6813.0493     11261.8244     17605.6972     26220.9957
8             5321.4039      9423.3269     15683.1590     24622.3355     36776.6901
9             6978.7615     12521.4439     20991.1176     33107.1532     49603.8809
10            8855.3198     16103.7716     27202.5535     43112.6124     64809.5215
11           10934.5090     20157.5395     34318.6362     54667.4988     82467.1998
12           13197.4363     24662.6431     42326.7306     67778.7024    102618.6935
13           15624.0939     29593.4436     51202.4947     82433.4238    125276.1355
14           18194.2682     34920.4386     60912.0489     98601.6372    150424.5355
15           20888.1604     40611.7238     71414.0940    116238.6982    178024.7791
16           23686.7593     46634.1977     82661.8759    135287.9385    208016.7436
17           26572.0240     52954.4979     94604.9270    155683.1446    240322.4460
18           29526.9365     59539.6807    107190.5427    177350.8041    274848.8386
19           32535.4771     66357.6755    120364.9783    200212.1402    311490.8082
20           35582.5634     73377.5531    134074.3702    224184.8183    350133.6448
21           38653.9814     80569.6504    148265.4046    249184.3950    390655.5879
22           41736.3253     87905.5949    162885.7611    275125.3968    432929.4608
23           44816.9526     95358.2613    177884.3734    301922.1771    476824.4109
24           47883.9554    102901.6906    193211.5452    329489.5315    522207.3791
25           50926.1463    110510.9929    208818.9571    357743.0888    568944.1228
26           53933.0520    118162.2473    224659.5984    386599.5159    616899.8328
27           56894.9121    125832.4093    240687.6585    415976.6496    665939.9550
28           59802.6776    133499.2301    256858.3954    445793.4780    715930.3170
29           62648.0073    141141.1914    273128.0098    475970.1699    766737.9465
30           65423.2592    148737.4566    289453.5322    506427.9931    818231.0533
31           68121.4780    156267.8378    305792.7373    537089.2371    870278.9516
